Measure,Percentage (%),Lower CI (%),Upper CI (%)
Right to human review,91,84.9,95.2
Australian AI Safety Institute,89.7,85,93.4
Annual independent safety audits,89.4,84.6,93.8
External pre-deployment safety testing,88.7,84.1,92.6
Mandatory safety incident reporting,88.7,81.6,93.6
Inform people when AI is being used,88.6,82,93.7
Developers required to maintain liability,87.7,79.1,93.6
Emergency shutdown capabilities,87.2,81.3,91.6
Pre-development release of safety protocols,86.7,80.6,91.3
Whistleblower protections for employees,86.6,78.8,92.5
Mandatory AI watermarking,86.2,78.4,92.2
Internal pre-deployment risk assessments,85.4,78.8,90.9
Australian AI regulator,85.1,80.2,89.5
Developers liable for catastrophic harms,84,75,90.5
